asset,commission_year,fixed_cost,investment_cost,investment_limit,fixed_cost_storage_energy,investment_cost_storage_energy,investment_limit_storage_energy,storage_loss_from_stored_energy,efficiency,storage_charging_efficiency,storage_discharging_efficiency
NL_CoalSubC1,2030,0.0,1370.0,303,5.0,0.0,,0,0.39,1.0,1.0
NL_CoalSubC2,2030,0.0,1370.0,746,5.0,0.0,,0,0.39,1.0,1.0
NL_CoalSubC3,2030,0.0,1370.0,227,5.0,0.0,,0,0.39,1.0,1.0
NL_CoalSubC4,2030,0.0,1370.0,110,5.0,0.0,,0,0.39,1.0,1.0
NL_CoalSuperC1,2030,0.0,1710.0,655,5.0,0.0,,0,0.45,1.0,1.0
NL_CoalSuperC2,2030,0.0,1710.0,285,5.0,0.0,,0,0.45,1.0,1.0
NL_CoalSuperC3,2030,0.0,1710.0,140,5.0,0.0,,0,0.45,1.0,1.0
NL_CoalSuperC4,2030,0.0,1710.0,250,5.0,0.0,,0,0.45,1.0,1.0
NL_CCGT1,2030,0.0,860.0,80,5.0,0.0,,0,0.62,1.0,1.0
NL_CCGT2,2030,0.0,860.0,9.8,5.0,0.0,,0,0.62,1.0,1.0
NL_CCGT3,2030,0.0,860.0,21.52,5.0,0.0,,0,0.62,1.0,1.0
NL_CCGT4,2030,0.0,860.0,95,5.0,0.0,,0,0.62,1.0,1.0
NL_CCGT5,2030,0.0,860.0,140,5.0,0.0,,0,0.62,1.0,1.0
NL_CCGT6,2030,0.0,860.0,12.5,5.0,0.0,,0,0.62,1.0,1.0
NL_CCGT7,2030,0.0,860.0,51.792,5.0,0.0,,0,0.62,1.0,1.0
NL_CCGT8,2030,0.0,860.0,70,5.0,0.0,,0,0.62,1.0,1.0
NL_OCGT1,2030,0.0,480.0,0.13,5.0,0.0,,0,0.42,1.0,1.0
NL_OCGT2,2030,0.0,480.0,13.165,5.0,0.0,,0,0.42,1.0,1.0
NL_OCGT3,2030,0.0,480.0,0.889,5.0,0.0,,0,0.42,1.0,1.0
NL_OCGT4,2030,0.0,480.0,49,5.0,0.0,,0,0.42,1.0,1.0
NL_OCGT5,2030,0.0,480.0,29,5.0,0.0,,0,0.42,1.0,1.0
NL_OCGT6,2030,0.0,480.0,0.661,5.0,0.0,,0,0.42,1.0,1.0
NL_OCGT7,2030,0.0,480.0,22.8,5.0,0.0,,0,0.42,1.0,1.0
NL_OCGT8,2030,0.0,480.0,0.2,5.0,0.0,,0,0.42,1.0,1.0
NL_Nuclear1,2030,0.0,3660.0,1250,5.0,0.0,,0,10.24,1.0,1.0
NL_Nuclear2,2030,0.0,3660.0,920,5.0,0.0,,0,10.24,1.0,1.0
NL_Nuclear3,2030,0.0,3660.0,440,5.0,0.0,,0,10.24,1.0,1.0
NL_Nuclear4,2030,0.0,3660.0,1650,5.0,0.0,,0,10.24,1.0,1.0
NL_OnWind,2030,0.0,1190.0,1000,5.0,0.0,,0,1.0,1.0,1.0
NL_OffWind,2030,0.0,2700.0,1000,5.0,0.0,,0,1.0,1.0,1.0
NL_Solar,2030,0.0,1140.0,500,5.0,0.0,,0,1.0,1.0,1.0
BE_CoalSubC1,2030,0.0,1370.0,303,5.0,0.0,,0,0.39,1.0,1.0
BE_CoalSubC2,2030,0.0,1370.0,746,5.0,0.0,,0,0.39,1.0,1.0
BE_CoalSubC3,2030,0.0,1370.0,227,5.0,0.0,,0,0.39,1.0,1.0
BE_CoalSubC4,2030,0.0,1370.0,110,5.0,0.0,,0,0.39,1.0,1.0
BE_CoalSuperC1,2030,0.0,1710.0,655,5.0,0.0,,0,0.45,1.0,1.0
