from_asset,to_asset,commission_year,fixed_cost,investment_cost,investment_limit,capacity_coefficient,conversion_coefficient
NL_CoalSubC1,NL_balance,2030,0,0,,1,1.0
NL_CoalSubC2,NL_balance,2030,0,0,,1,1.0
NL_CoalSubC3,NL_balance,2030,0,0,,1,1.0
NL_CoalSubC4,NL_balance,2030,0,0,,1,1.0
NL_CoalSuperC1,NL_balance,2030,0,0,,1,1.0
NL_CoalSuperC2,NL_balance,2030,0,0,,1,1.0
NL_CoalSuperC3,NL_balance,2030,0,0,,1,1.0
NL_CoalSuperC4,NL_balance,2030,0,0,,1,1.0
NL_CCGT1,NL_balance,2030,0,0,,1,1.0
NL_CCGT2,NL_balance,2030,0,0,,1,1.0
NL_CCGT3,NL_balance,2030,0,0,,1,1.0
NL_CCGT4,NL_balance,2030,0,0,,1,1.0
NL_CCGT5,NL_balance,2030,0,0,,1,1.0
NL_CCGT6,NL_balance,2030,0,0,,1,1.0
NL_CCGT7,NL_balance,2030,0,0,,1,1.0
NL_CCGT8,NL_balance,2030,0,0,,1,1.0
NL_OCGT1,NL_balance,2030,0,0,,1,1.0
NL_OCGT2,NL_balance,2030,0,0,,1,1.0
NL_OCGT3,NL_balance,2030,0,0,,1,1.0
NL_OCGT4,NL_balance,2030,0,0,,1,1.0
NL_OCGT5,NL_balance,2030,0,0,,1,1.0
NL_OCGT6,NL_balance,2030,0,0,,1,1.0
NL_OCGT7,NL_balance,2030,0,0,,1,1.0
NL_OCGT8,NL_balance,2030,0,0,,1,1.0
NL_Nuclear1,NL_balance,2030,0,0,,1,1.0
NL_Nuclear2,NL_balance,2030,0,0,,1,1.0
NL_Nuclear3,NL_balance,2030,0,0,,1,1.0
NL_Nuclear4,NL_balance,2030,0,0,,1,1.0
NL_OnWind,NL_balance,2030,0,0,,1,1.0
NL_OffWind,NL_balance,2030,0,0,,1,1.0
NL_Solar,NL_balance,2030,0,0,,1,1.0
BE_CoalSubC1,BE_balance,2030,0,0,,1,1.0
BE_CoalSubC2,BE_balance,2030,0,0,,1,1.0
BE_CoalSubC3,BE_balance,2030,0,0,,1,1.0
BE_CoalSubC4,BE_balance,2030,0,0,,1,1.0
BE_CoalSuperC1,BE_balance,2030,0,0,,1,1.0
BE_CoalSuperC2,BE_balance,2030,0,0,,1,1.0
BE_CoalSuperC3,BE_balance,2030,0,0,,1,1.0
BE_CoalSuperC4,BE_balance,2030,0,0,,1,1.0
BE_CCGT1,BE_balance,2030,0,0,,1,1.0
BE_CCGT2,BE_balance,2030,0,0,,1,1.0
BE_CCGT3,BE_balance,2030,0,0,,1,1.0
BE_CCGT4,BE_balance,2030,0,0,,1,1.0
BE_CCGT5,BE_balance,2030,0,0,,1,1.0
BE_CCGT6,BE_balance,2030,0,0,,1,1.0
BE_CCGT7,BE_balance,2030,0,0,,1,1.0
BE_CCGT8,BE_balance,2030,0,0,,1,1.0
BE_OCGT1,BE_balance,2030,0,0,,1,1.0
BE_OCGT2,BE_balance,2030,0,0,,1,1.0
BE_OCGT3,BE_balance,2030,0,0,,1,1.0
BE_OCGT4,BE_balance,2030,0,0,,1,1.0
BE_OCGT5,BE_balance,2030,0,0,,1,1.0
BE_OCGT6,BE_balance,2030,0,0,,1,1.0
BE_OCGT7,BE_balance,2030,0,0,,1,1.0
BE_OCGT8,BE_balance,2030,0,0,,1,1.0
BE_Nuclear1,BE_balance,2030,0,0,,1,1.0
BE_Nuclear2,BE_balance,2030,0,0,,1,1.0
BE_Nuclear3,BE_balance,2030,0,0,,1,1.0
BE_Nuclear4,BE_balance,2030,0,0,,1,1.0
BE_OnWind,BE_balance,2030,0,0,,1,1.0
BE_OffWind,BE_balance,2030,0,0,,1,1.0
BE_Solar,BE_balance,2030,0,0,,1,1.0
NL_balance,NL_demand,2030,0,0,,1,1.0
BE_balance,BE_demand,2030,0,0,,1,1.0
NL_balance,BE_balance,2030,0,0,,1,1.0
ens,NL_demand,2030,0,0,,1,1.0
ens,BE_demand,2030,0,0,,1,1.0
