asset,milestone_year,investable,peak_demand,storage_inflows,initial_storage_level,min_energy_timeframe_partition,max_energy_timeframe_partition,units_on_cost,commodity_price
NL_CoalSubC1,2030,true,0.0,0.0,0.0,,,,0.00927
NL_CoalSubC2,2030,true,0.0,0.0,0.0,,,,0.00927
NL_CoalSubC3,2030,true,0.0,0.0,0.0,,,,0.00927
NL_CoalSubC4,2030,true,0.0,0.0,0.0,,,,0.00927
NL_CoalSuperC1,2030,true,0.0,0.0,0.0,,,,0.00927
NL_CoalSuperC2,2030,true,0.0,0.0,0.0,,,,0.00927
NL_CoalSuperC3,2030,true,0.0,0.0,0.0,,,,0.00927
NL_CoalSuperC4,2030,true,0.0,0.0,0.0,,,,0.00927
NL_CCGT1,2030,true,0.0,0.0,0.0,,,,0.02512
NL_CCGT2,2030,true,0.0,0.0,0.0,,,,0.02512
NL_CCGT3,2030,true,0.0,0.0,0.0,,,,0.02512
NL_CCGT4,2030,true,0.0,0.0,0.0,,,,0.02512
NL_CCGT5,2030,true,0.0,0.0,0.0,,,,0.02512
NL_CCGT6,2030,true,0.0,0.0,0.0,,,,0.02512
NL_CCGT7,2030,true,0.0,0.0,0.0,,,,0.02512
NL_CCGT8,2030,true,0.0,0.0,0.0,,,,0.02512
NL_OCGT1,2030,true,0.0,0.0,0.0,,,,0.02512
NL_OCGT2,2030,true,0.0,0.0,0.0,,,,0.02512
NL_OCGT3,2030,true,0.0,0.0,0.0,,,,0.02512
NL_OCGT4,2030,true,0.0,0.0,0.0,,,,0.02512
NL_OCGT5,2030,true,0.0,0.0,0.0,,,,0.02512
NL_OCGT6,2030,true,0.0,0.0,0.0,,,,0.02512
NL_OCGT7,2030,true,0.0,0.0,0.0,,,,0.02512
NL_OCGT8,2030,true,0.0,0.0,0.0,,,,0.02512
NL_Nuclear1,2030,true,0.0,0.0,0.0,,,,0.00634
NL_Nuclear2,2030,true,0.0,0.0,0.0,,,,0.00634
NL_Nuclear3,2030,true,0.0,0.0,0.0,,,,0.00634
NL_Nuclear4,2030,true,0.0,0.0,0.0,,,,0.00634
NL_OnWind,2030,true,0.0,0.0,0.0,,,,0.0
NL_OffWind,2030,true,0.0,0.0,0.0,,,,0.0
NL_Solar,2030,true,0.0,0.0,0.0,,,,0.0
BE_CoalSubC1,2030,true,0.0,0.0,0.0,,,,0.00927
BE_CoalSubC2,2030,true,0.0,0.0,0.0,,,,0.00927
BE_CoalSubC3,2030,true,0.0,0.0,0.0,,,,0.00927
BE_CoalSubC4,2030,true,0.0,0.0,0.0,,,,0.00927
BE_CoalSuperC1,2030,true,0.0,0.0,0.0,,,,0.00927
BE_CoalSuperC2,2030,true,0.0,0.0,0.0,,,,0.00927
BE_CoalSuperC3,2030,true,0.0,0.0,0.0,,,,0.00927
BE_CoalSuperC4,2030,true,0.0,0.0,0.0,,,,0.00927
BE_CCGT1,2030,true,0.0,0.0,0.0,,,,0.02512
BE_CCGT2,2030,true,0.0,0.0,0.0,,,,0.02512
BE_CCGT3,2030,true,0.0,0.0,0.0,,,,0.02512
BE_CCGT4,2030,true,0.0,0.0,0.0,,,,0.02512
BE_CCGT5,2030,true,0.0,0.0,0.0,,,,0.02512
BE_CCGT6,2030,true,0.0,0.0,0.0,,,,0.02512
BE_CCGT7,2030,true,0.0,0.0,0.0,,,,0.02512
BE_CCGT8,2030,true,0.0,0.0,0.0,,,,0.02512
BE_OCGT1,2030,true,0.0,0.0,0.0,,,,0.02512
BE_OCGT2,2030,true,0.0,0.0,0.0,,,,0.02512
BE_OCGT3,2030,true,0.0,0.0,0.0,,,,0.02512
BE_OCGT4,2030,true,0.0,0.0,0.0,,,,0.02512
BE_OCGT5,2030,true,0.0,0.0,0.0,,,,0.02512
BE_OCGT6,2030,true,0.0,0.0,0.0,,,,0.02512
BE_OCGT7,2030,true,0.0,0.0,0.0,,,,0.02512
BE_OCGT8,2030,true,0.0,0.0,0.0,,,,0.02512
BE_Nuclear1,2030,true,0.0,0.0,0.0,,,,0.00634
BE_Nuclear2,2030,true,0.0,0.0,0.0,,,,0.00634
BE_Nuclear3,2030,true,0.0,0.0,0.0,,,,0.00634
BE_Nuclear4,2030,true,0.0,0.0,0.0,,,,0.00634
BE_OnWind,2030,true,0.0,0.0,0.0,,,,0.0
BE_OffWind,2030,true,0.0,0.0,0.0,,,,0.0
BE_Solar,2030,true,0.0,0.0,0.0,,,,0.0
NL_demand,2030,false,4000.0,0.0,0.0,,,,0.0
BE_demand,2030,false,4000.0,0.0,0.0,,,,0.0
NL_balance,2030,false,0.0,0.0,0.0,,,,0.0
BE_balance,2030,false,0.0,0.0,0.0,,,,0.0
ens,2030,false,0.0,0.0,0.0,,,,1000.0
