from_asset,to_asset,milestone_year,investable,operational_cost,reactance,dc_opf
NL_CoalSubC1,NL_balance,2030,false,0.0077,0.3,false
NL_CoalSubC2,NL_balance,2030,false,0.0077,0.3,false
NL_CoalSubC3,NL_balance,2030,false,0.0077,0.3,false
NL_CoalSubC4,NL_balance,2030,false,0.0077,0.3,false
NL_CoalSuperC1,NL_balance,2030,false,0.006,0.3,false
NL_CoalSuperC2,NL_balance,2030,false,0.006,0.3,false
NL_CoalSuperC3,NL_balance,2030,false,0.006,0.3,false
NL_CoalSuperC4,NL_balance,2030,false,0.006,0.3,false
NL_CCGT1,NL_balance,2030,false,0.005,0.3,false
NL_CCGT2,NL_balance,2030,false,0.005,0.3,false
NL_CCGT3,NL_balance,2030,false,0.005,0.3,false
NL_CCGT4,NL_balance,2030,false,0.005,0.3,false
NL_CCGT5,NL_balance,2030,false,0.005,0.3,false
NL_CCGT6,NL_balance,2030,false,0.005,0.3,false
NL_CCGT7,NL_balance,2030,false,0.005,0.3,false
NL_CCGT8,NL_balance,2030,false,0.005,0.3,false
NL_OCGT1,NL_balance,2030,false,0.004,0.3,false
NL_OCGT2,NL_balance,2030,false,0.004,0.3,false
NL_OCGT3,NL_balance,2030,false,0.004,0.3,false
NL_OCGT4,NL_balance,2030,false,0.004,0.3,false
NL_OCGT5,NL_balance,2030,false,0.004,0.3,false
NL_OCGT6,NL_balance,2030,false,0.004,0.3,false
NL_OCGT7,NL_balance,2030,false,0.004,0.3,false
NL_OCGT8,NL_balance,2030,false,0.004,0.3,false
NL_Nuclear1,NL_balance,2030,false,0.0111,0.3,false
NL_Nuclear2,NL_balance,2030,false,0.0111,0.3,false
NL_Nuclear3,NL_balance,2030,false,0.0111,0.3,false
NL_Nuclear4,NL_balance,2030,false,0.0111,0.3,false
NL_OnWind,NL_balance,2030,false,0.0,0.3,false
NL_OffWind,NL_balance,2030,false,0.0,0.3,false
NL_Solar,NL_balance,2030,false,0.01,0.3,false
BE_CoalSubC1,BE_balance,2030,false,0.0077,0.3,false
BE_CoalSubC2,BE_balance,2030,false,0.0077,0.3,false
BE_CoalSubC3,BE_balance,2030,false,0.0077,0.3,false
BE_CoalSubC4,BE_balance,2030,false,0.0077,0.3,false
BE_CoalSuperC1,BE_balance,2030,false,0.006,0.3,false
BE_CoalSuperC2,BE_balance,2030,false,0.006,0.3,false
BE_CoalSuperC3,BE_balance,2030,false,0.006,0.3,false
BE_CoalSuperC4,BE_balance,2030,false,0.006,0.3,false
BE_CCGT1,BE_balance,2030,false,0.005,0.3,false
BE_CCGT2,BE_balance,2030,false,0.005,0.3,false
BE_CCGT3,BE_balance,2030,false,0.005,0.3,false
BE_CCGT4,BE_balance,2030,false,0.005,0.3,false
BE_CCGT5,BE_balance,2030,false,0.005,0.3,false
BE_CCGT6,BE_balance,2030,false,0.005,0.3,false
BE_CCGT7,BE_balance,2030,false,0.005,0.3,false
BE_CCGT8,BE_balance,2030,false,0.005,0.3,false
BE_OCGT1,BE_balance,2030,false,0.004,0.3,false
BE_OCGT2,BE_balance,2030,false,0.004,0.3,false
BE_OCGT3,BE_balance,2030,false,0.004,0.3,false
BE_OCGT4,BE_balance,2030,false,0.004,0.3,false
BE_OCGT5,BE_balance,2030,false,0.004,0.3,false
BE_OCGT6,BE_balance,2030,false,0.004,0.3,false
BE_OCGT7,BE_balance,2030,false,0.004,0.3,false
BE_OCGT8,BE_balance,2030,false,0.004,0.3,false
BE_Nuclear1,BE_balance,2030,false,0.0111,0.3,false
BE_Nuclear2,BE_balance,2030,false,0.0111,0.3,false
BE_Nuclear3,BE_balance,2030,false,0.0111,0.3,false
BE_Nuclear4,BE_balance,2030,false,0.0111,0.3,false
BE_OnWind,BE_balance,2030,false,0.0,0.3,false
BE_OffWind,BE_balance,2030,false,0.0,0.3,false
BE_Solar,BE_balance,2030,false,0.01,0.3,false
NL_balance,NL_demand,2030,false,0.0,0.3,false
BE_balance,BE_demand,2030,false,0.0,0.3,false
NL_balance,BE_balance,2030,false,0.0,0.3,false
ens,NL_demand,2030,false,0.77,0.3,false
ens,BE_demand,2030,false,0.77,0.3,false
