asset,type,group,capacity,min_operating_point,investment_method,investment_integer,technical_lifetime,economic_lifetime,discount_rate,consumer_balance_sense,capacity_storage_energy,is_seasonal,use_binary_storage_method,unit_commitment,unit_commitment_method,unit_commitment_integer,ramping,storage_method_energy,energy_to_power_ratio,investment_integer_storage_energy,max_ramp_up,max_ramp_down,start_up_cost,shut_down_cost,max_su_ramp,max_sd_ramp,minimum_up_time,minimum_down_time,start_trajectory,shut_trajectory
CoalSubC1,producer,,303.0,0.4,simple,true,35,35,0.05,==,0.0,false,,true,2var-0T,true,true,false,0.0,false,0.45,0.45,49.998296153846155,49.998296153846155,0.4,0.4,24.0,16.0,8.0,8.0
CoalSubC2,producer,,746.0,0.4,simple,true,35,35,0.05,==,0.0,false,,true,2var-0T,true,true,false,0.0,false,0.45,0.45,123.1422076923077,123.1422076923077,0.4,0.4,24.0,16.0,8.0,8.0
CoalSubC3,producer,,227.0,0.4,simple,true,35,35,0.05,==,0.0,false,,true,2var-0T,true,true,false,0.0,false,0.45,0.45,37.45581923076924,37.45581923076924,0.4,0.4,24.0,16.0,8.0,8.0
CoalSubC4,producer,,110.0,0.4,simple,true,35,35,0.05,==,0.0,false,,true,2var-0T,true,true,false,0.0,false,0.45,0.45,18.14726923076923,18.14726923076923,0.4,0.4,24.0,16.0,8.0,8.0
CoalSuperC1,producer,,655.0,0.5,simple,true,35,35,0.05,==,0.0,false,,true,2var-0T,true,true,false,0.0,false,0.6,0.6,92.1035,92.1035,0.5,0.5,24.0,16.0,8.0,8.0
CoalSuperC2,producer,,285.0,0.5,simple,true,35,35,0.05,==,0.0,false,,true,2var-0T,true,true,false,0.0,false,0.6,0.6,40.0945,40.0945,0.5,0.5,24.0,16.0,8.0,8.0
CoalSuperC3,producer,,140.0,0.5,simple,true,35,35,0.05,==,0.0,false,,true,2var-0T,true,true,false,0.0,false,0.6,0.6,19.698,19.698,0.5,0.5,24.0,16.0,8.0,8.0
CoalSuperC4,producer,,250.0,0.5,simple,true,35,35,0.05,==,0.0,false,,true,2var-0T,true,true,false,0.0,false,0.6,0.6,35.175,35.175,0.5,0.5,24.0,16.0,8.0,8.0
CCGT1,producer,,80.0,0.5,simple,true,15,15,0.05,==,0.0,false,,true,2var-0T,true,true,false,0.0,false,1.0,1.0,8.60258064516129,8.60258064516129,0.5,0.5,16.0,6.0,3.0,3.0
CCGT2,producer,,9.8,0.5,simple,true,15,15,0.05,==,0.0,false,,true,2var-0T,true,true,false,0.0,false,1.0,1.0,1.054116129032258,1.054116129032258,0.5,0.5,16.0,6.0,3.0,3.0
CCGT3,producer,,21.52,0.5,simple,true,15,15,0.05,==,0.0,false,,true,2var-0T,true,true,false,0.0,false,1.0,1.0,2.314014193548387,2.314014193548387,0.5,0.5,16.0,6.0,3.0,3.0
CCGT4,producer,,95.0,0.5,simple,true,15,15,0.05,==,0.0,false,,true,2var-0T,true,true,false,0.0,false,1.0,1.0,10.218064516129031,10.218064516129031,0.5,0.5,16.0,6.0,3.0,3.0
CCGT5,producer,,140.0,0.5,simple,true,15,15,0.05,==,0.0,false,,true,2var-0T,true,true,false,0.0,false,1.0,1.0,15.054516129032256,15.054516129032256,0.5,0.5,16.0,6.0,3.0,3.0
CCGT6,producer,,12.5,0.5,simple,true,15,15,0.05,==,0.0,false,,true,2var-0T,true,true,false,0.0,false,1.0,1.0,1.3439032258064514,1.3439032258064514,0.5,0.5,16.0,6.0,3.0,3.0
CCGT7,producer,,51.792,0.5,simple,true,15,15,0.05,==,0.0,false,,true,2var-0T,true,true,false,0.0,false,1.0,1.0,5.568742709677419,5.568742709677419,0.5,0.5,16.0,6.0,3.0,3.0
CCGT8,producer,,70.0,0.5,simple,true,15,15,0.05,==,0.0,false,,true,2var-0T,true,true,false,0.0,false,1.0,1.0,7.522258064516128,7.522258064516128,0.5,0.5,16.0,6.0,3.0,3.0
OCGT1,producer,,0.13,0.1,simple,true,15,15,0.05,==,0.0,false,,true,2var-0T,true,true,false,0.0,false,1.0,1.0,0.008568238095238098,0.008568238095238098,0.1,0.1,4.0,4.0,1.0,1.0
OCGT2,producer,,13.165,0.1,simple,true,15,15,0.05,==,0.0,false,,true,2var-0T,true,true,false,0.0,false,1.0,1.0,0.867652380952381,0.867652380952381,0.1,0.1,4.0,4.0,1.0,1.0
OCGT3,producer,,0.889,0.1,simple,true,15,15,0.05,==,0.0,false,,true,2var-0T,true,true,false,0.0,false,1.0,1.0,0.058586666666666676,0.058586666666666676,0.1,0.1,4.0,4.0,1.0,1.0
OCGT4,producer,,49.0,0.1,simple,true,15,15,0.05,==,0.0,false,,true,2var-0T,true,true,false,0.0,false,1.0,1.0,3.229666666666667,3.229666666666667,0.1,0.1,4.0,4.0,1.0,1.0
OCGT5,producer,,29.0,0.1,simple,true,15,15,0.05,==,0.0,false,,true,2var-0T,true,true,false,0.0,false,1.0,1.0,1.9113761904761906,1.9113761904761906,0.1,0.1,4.0,4.0,1.0,1.0
OCGT6,producer,,0.661,0.1,simple,true,15,15,0.05,==,0.0,false,,true,2var-0T,true,true,false,0.0,false,1.0,1.0,0.043568095238095246,0.043568095238095246,0.1,0.1,4.0,4.0,1.0,1.0
OCGT7,producer,,22.8,0.1,simple,true,15,15,0.05,==,0.0,false,,true,2var-0T,true,true,false,0.0,false,1.0,1.0,1.5027571428571431,1.5027571428571431,0.1,0.1,4.0,4.0,1.0,1.0
OCGT8,producer,,0.2,0.1,simple,true,15,15,0.05,==,0.0,false,,true,2var-0T,true,true,false,0.0,false,1.0,1.0,0.013181904761904764,0.013181904761904764,0.1,0.1,4.0,4.0,1.0,1.0
Nuclear1,producer,,1250.0,0.5,simple,true,15,15,0.05,==,0.0,false,,true,2var-0T,true,true,false,0.0,false,0.75,0.75,732.372900390625,732.372900390625,0.5,0.5,96.0,192.0,96.0,96.0
Nuclear2,producer,,920.0,0.5,simple,true,15,15,0.05,==,0.0,false,,true,2var-0T,true,true,false,0.0,false,0.75,0.75,539.0080546875,539.0080546875,0.5,0.5,96.0,192.0,96.0,96.0
Nuclear3,producer,,440.0,0.5,simple,true,15,15,0.05,==,0.0,false,,true,2var-0T,true,true,false,0.0,false,0.75,0.75,257.80646093750005,257.80646093750005,0.5,0.5,96.0,192.0,96.0,96.0
Nuclear4,producer,,1650.0,0.5,simple,true,15,15,0.05,==,0.0,false,,true,2var-0T,true,true,false,0.0,false,0.75,0.75,966.7242285156251,966.7242285156251,0.5,0.5,96.0,192.0,96.0,96.0
OnWind,producer,,50.0,,simple,true,15,15,0.05,==,0.0,false,,false,,false,false,false,0.0,false,,,,,,,,,,
OffWind,producer,,50.0,,simple,true,15,15,0.05,==,0.0,false,,false,,false,false,false,0.0,false,,,,,,,,,,
Solar,producer,,20.0,,simple,true,15,15,0.05,==,0.0,false,,false,,false,false,false,0.0,false,,,,,,,,,,
demand,consumer,,0.0,0.0,none,false,15,15,0.05,==,0.0,false,,false,,false,false,false,0.0,false,,,,,,,,,,
ens,producer,,100000.0,1.0,none,false,15,15,0.05,==,0.0,false,,false,,false,false,false,0.0,false,,,,,,,,,,
