id,asset,milestone_year,commission_year,initial_units,var_investment_indices,var_decommission_indices
1,CoalSubC1,2030,2030,1.0,,
2,CoalSubC2,2030,2030,1.0,,
3,CoalSubC3,2030,2030,1.0,,
4,CoalSubC4,2030,2030,1.0,,
5,CoalSuperC1,2030,2030,1.0,,
6,CoalSuperC2,2030,2030,1.0,,
7,CoalSuperC3,2030,2030,1.0,,
8,CoalSuperC4,2030,2030,1.0,,
9,CCGT1,2030,2030,1.0,,
10,CCGT2,2030,2030,1.0,,
11,CCGT3,2030,2030,1.0,,
12,CCGT4,2030,2030,1.0,,
13,CCGT5,2030,2030,1.0,,
14,CCGT6,2030,2030,1.0,,
15,CCGT7,2030,2030,1.0,,
16,CCGT8,2030,2030,1.0,,
17,OCGT1,2030,2030,1.0,,
18,OCGT2,2030,2030,1.0,,
19,OCGT3,2030,2030,1.0,,
20,OCGT4,2030,2030,1.0,,
21,OCGT5,2030,2030,1.0,,
22,OCGT6,2030,2030,1.0,,
23,OCGT7,2030,2030,1.0,,
24,OCGT8,2030,2030,1.0,,
25,Nuclear1,2030,2030,1.0,,
26,Nuclear2,2030,2030,1.0,,
27,Nuclear3,2030,2030,1.0,,
28,Nuclear4,2030,2030,1.0,,
29,OnWind,2030,2030,0.0,,
30,OffWind,2030,2030,0.0,,
31,Solar,2030,2030,0.0,,
32,ens,2030,2030,1.0,,
